n,m,seed,LB_type,time_ms
8,5,0,0,2.124899998307228
8,5,0,1,2.318900020327419
8,5,0,2,3.0834999633952975
8,5,0,3,2.96469999011606
8,5,0,4,3.214099968317896
8,5,238609294,0,774.858699995093
8,5,238609294,1,389.4803000148386
8,5,238609294,2,460.32940002623945
8,5,238609294,3,297.2878000000492
8,5,238609294,4,238.3345999987796
8,5,477218588,0,83.58969999244437
8,5,477218588,1,73.04180000210181
8,5,477218588,2,91.7568999575451
8,5,477218588,3,70.80109999515116
8,5,477218588,4,54.77970000356436
8,5,715827882,0,1269.3857999984175
8,5,715827882,1,1035.269399988465
8,5,715827882,2,1195.469799975399
8,5,715827882,3,697.7638999815099
8,5,715827882,4,528.1465000007302
8,5,954437176,0,457.5085999676958
8,5,954437176,1,221.6181000112556
8,5,954437176,2,266.3372000097297
8,5,954437176,3,158.8128000148572
8,5,954437176,4,88.47970003262162
8,5,1193046470,0,14.491799985989928
8,5,1193046470,1,15.729699982330203
8,5,1193046470,2,20.6076999893412
8,5,1193046470,3,18.608700018376112
8,5,1193046470,4,20.530400041025132
8,5,1431655764,0,473.9222999778576
8,5,1431655764,1,285.9312999644317
8,5,1431655764,2,308.5587999667041
8,5,1431655764,3,210.441000002902
8,5,1431655764,4,102.2272999980487
8,5,1670265058,0,59.89999999292195
8,5,1670265058,1,53.858599974773824
8,5,1670265058,2,66.66300003416836
8,5,1670265058,3,48.99220005609095
8,5,1670265058,4,42.03589999815449
8,5,1908874352,0,325.5217000260018
8,5,1908874352,1,250.63110003247857
8,5,1908874352,2,316.14660000195727
8,5,1908874352,3,197.96979997772723
8,5,1908874352,4,119.78269997052848
8,5,2147483646,0,105.58720002882183
8,5,2147483646,1,89.70170002430677
8,5,2147483646,2,109.70670002279803
8,5,2147483646,3,70.18549996428192
8,5,2147483646,4,61.28229998284951
8,10,0,0,3.9622000185772777
8,10,0,1,4.404600011184812
8,10,0,2,7.420400041155517
8,10,0,3,6.37840002309531
8,10,0,4,6.930999981705099
8,10,238609294,0,1983.1953999819234
8,10,238609294,1,683.9848000090569
8,10,238609294,2,880.4183999891393
8,10,238609294,3,415.3476000064984
8,10,238609294,4,307.6874000253156
8,10,477218588,0,1100.7200999883935
8,10,477218588,1,692.5023999647237
8,10,477218588,2,1045.619299984537
8,10,477218588,3,496.9878999982029
8,10,477218588,4,293.81559998728335
8,10,715827882,0,1621.3590999832377
